country_name,REGION,SUBREGION,UN,spatial,temporal,V2022,V2024S1T5,f_file_name
Philippines,142,35,608,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/7d278v06f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/b8515q26w),philippines_s1t2
Pitcairn Islands,9,61,612,3,8,,,pitcairn_islands_s3t8
Poland,150,151,616,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/4b29b7569),poland_s5t11
Portugal,150,39,620,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/gb19f7006),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/f4752j497),portugal_s5t11
Puerto Rico,19,29,630,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/x633f230f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/gt54kq07d),puerto_rico_s3t8
Qatar,142,145,634,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/j098zc672),qatar_s5t11
Queensland,9,53,36,,,[2001-2021](https://scholar.colorado.edu/concern/datasets/cr56n230n),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152),
Republic Of Serbia,150,39,688,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5h73pz01v),republic_of_serbia_s5t11
Congo,2,17,178,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/nk322f305),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/t435gf783),republic_of_the_congo_s1t1
Romania,150,151,642,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/w3763834n),romania_s5t11
Russia,150,151,643,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/q811kk87t),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/f7623f60g),russia_s5t11
Rwanda,2,14,646,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/st74cr782),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/jw827d403),rwanda_s1t1
Saint Barthelemy,19,29,652,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/x633f230f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/h989r4943),saint_barthelemy_s3t8
Saint Helena,2,11,654,3,8,,,saint_helena_s3t8
Saint Kitts and Nevis,19,29,659,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/x633f230f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/2f75r969z),saint_kitts_and_nevis_s3t8
Saint Lucia,19,29,662,3,8,,,saint_lucia_s3t8
Saint Martin,19,29,663,3,8,,,saint_martin_s3t8
Saint Pierre and Miquelon,19,21,666,3,8,,,saint_pierre_and_miquelon_s3t8
Saint Vincent and The Grenadines,19,29,670,3,8,,,saint_vincent_and_the_grenadines_s3t8
Samoa,9,61,882,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/kw52j9917),samoa_s3t8
San Marino,150,39,674,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/zk51vj568),san_marino_s3t8
Sao Tome and Principe,2,17,678,1,1,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/2227mr49g),sao_tome_and_principe_s1t1
Saudi Arabia,142,145,682,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/5d86p139h),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/g732db61d),saudi_arabia_s5t11
Senegal,2,11,686,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/tt44pp176),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/v118rg081),senegal_s1t1
Seychelles,2,14,690,3,8,,,seychelles_s3t8
Sierra Leone,2,11,694,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/5712m779r),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/r781wh64b),sierra_leone_s1t1
Singapore,142,35,702,1,2,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/12579t91m),singapore_s1t2
Sint Maarten,19,29,534,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/7d278v61h),sint_maarten_s3t8
Slovakia,150,151,703,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/cr56n2793),slovakia_s5t11
Slovenia,150,39,705,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/tq57ns75v),slovenia_s5t11
Solomon Islands,9,54,90,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/6t053h70v),solomon_islands_s3t8
Somalia,2,14,706,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/xd07gt798),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/q524jq68k),somalia_s5t11
Somaliland,2,14,706,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/8c97kr53f),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/08612q175),somaliland_s5t11
South Africa,2,18,710,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/rf55z8833),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/z603r0092),south_africa_s1t1
